movie,query,clean_query,url,ipc,icr,similarity,trueLabel,opredict,ipredict
Harry Potter and the Order of the Phoenix,fifth harry potter movie,fifth harry potter,http://www.imdb.com/title/tt0373889/,1,1.0,0.2851051754389218,y,y,y
Harry Potter and the Order of the Phoenix,harry potter,harry potter,http://www.imdb.com/title/tt0373889/,1,0.006796941376380629,0.11722769011963748,n,n,n
Harry Potter and the Order of the Phoenix,harry potter 5,harry potter 5,"https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,http://www.imdb.com/title/tt0373889/,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Order_of_the_Phoenix_%28film%29,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Order_of_the_Phoenix",4,0.08247422680412371,0.15432192739036918,y,y,y
Harry Potter and the Order of the Phoenix,harry potter and the order of phoenix,harry potter phoenix,"https://en.wikipedia.org/wiki/Harry_Potter_and_the_Order_of_the_Phoenix_%28film%29,https://www.rottentomatoes.com/m/harry_potter_and_the_order_of_the_phoenix/,https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,http://www.imdb.com/title/tt0373889/,https://www.amazon.com/Harry-Potter-Order-Phoenix-Book/dp/0545582970,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Order_of_the_Phoenix",6,0.25806451612903225,0.14914671234566262,y,y,y
Harry Potter and the Order of the Phoenix,harry potter and the order of phoenix full movie,harry potter phoenix,"http://www.imdb.com/title/tt0373889/,https://www.rottentomatoes.com/m/harry_potter_and_the_order_of_the_phoenix/",2,0.5471698113207547,0.2404076231240478,y,y,y
Harry Potter and the Order of the Phoenix,harry potter and the order of phoenix online,harry potter phoenix,http://www.imdb.com/title/tt0373889/,1,0.6153846153846154,0.17570568183046295,y,y,y
Harry Potter and the Order of the Phoenix,harry potter and the order of the phoenix,harry potter phoenix,"https://en.wikipedia.org/wiki/Harry_Potter_and_the_Order_of_the_Phoenix_%28film%29,https://www.rottentomatoes.com/m/harry_potter_and_the_order_of_the_phoenix/,http://www.imdb.com/title/tt0373889/,https://www.amazon.com/Harry-Potter-Order-Phoenix-Book/dp/0545582970,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Order_of_the_Phoenix",5,0.2684563758389262,0.1341839059154594,n,y,y
Harry Potter and the Order of the Phoenix,harry potter and the order of the phoenix 2007,harry potter phoenix 2007,"http://www.imdb.com/title/tt0373889/,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Order_of_the_Phoenix_%28film%29,https://www.rottentomatoes.com/m/harry_potter_and_the_order_of_the_phoenix/,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Order_of_the_Phoenix",4,0.31496062992125984,0.16868462075461738,y,y,y
Harry Potter and the Order of the Phoenix,harry potter and the order of the phoenix free movie,harry potter phoenix,"http://www.imdb.com/title/tt0373889/,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Order_of_the_Phoenix_%28film%29,https://www.rottentomatoes.com/m/harry_potter_and_the_order_of_the_phoenix/",3,0.3333333333333333,0.2033975759007798,n,y,y
Harry Potter and the Order of the Phoenix,harry potter and the order of the phoenix movie,harry potter phoenix,"http://www.imdb.com/title/tt0373889/,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Order_of_the_Phoenix_%28film%29,https://www.rottentomatoes.com/m/harry_potter_and_the_order_of_the_phoenix/",3,0.3333333333333333,0.2033975759007798,n,y,y
